"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
103,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda",100,"Koussanar",522010,"522010","Arrondissment","Arrondissement","",""
104,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda",101,"Makacoulibantang",522020,"522020","Arrondissment","Arrondissement","",""
105,201,"SEN","Senegal",12,"Tambacounda",39,"Tambacounda",102,"Missirah",522030,"522030","Arrondissment","Arrondissement","",""
106,201,"SEN","Senegal",13,"Thiès",40,"Mbour",103,"Fissel",712010,"712010","Arrondissment","Arrondissement","",""
107,201,"SEN","Senegal",13,"Thiès",40,"Mbour",104,"Sessene",712020,"712020","Arrondissment","Arrondissement","",""
108,201,"SEN","Senegal",13,"Thiès",40,"Mbour",105,"Sindia",712030,"712030","Arrondissment","Arrondissement","",""
109,201,"SEN","Senegal",13,"Thiès",41,"Thiès",106,"Keur Moussa",722030,"722030","Arrondissment","Arrondissement","",""
110,201,"SEN","Senegal",13,"Thiès",41,"Thiès",107,"Notto",722010,"722010","Arrondissment","Arrondissement","",""
111,201,"SEN","Senegal",13,"Thiès",41,"Thiès",108,"Thienaba",722020,"722020","Arrondissment","Arrondissement","",""
112,201,"SEN","Senegal",13,"Thiès",41,"Thiès",109,"Thies Nord",723011,"723011","Arrondissment","Arrondissement","",""
113,201,"SEN","Senegal",13,"Thiès",41,"Thiès",110,"Thies Sud",723012,"723012","Arrondissment","Arrondissement","",""
114,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",111,"Meouane",732010,"732010","Arrondissment","Arrondissement","",""
115,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",112,"Mequane",732010,"732010","Arrondissment","Arrondissement","",""
116,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",113,"Merina Dakhar",732020,"732020","Arrondissment","Arrondissement","",""
117,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",114,"Niakhene",732030,"732030","Arrondissment","Arrondissement","",""
118,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",115,"Pambal",732040,"732040","Arrondissment","Arrondissement","",""
119,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",116,"Kataba I",212040,"212040","Arrondissment","Arrondissement","",""
120,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",117,"Sindian",212010,"212010","Arrondissment","Arrondissement","",""
121,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",118,"Tendouck",212020,"212020","Arrondissment","Arrondissement","",""
122,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",119,"Tenghory",212030,"212030","Arrondissment","Arrondissement","",""
123,201,"SEN","Senegal",14,"Ziguinchor",44,"Oussouye",120,"Cabrousse",222010,"222010","Arrondissment","Arrondissement","",""
124,201,"SEN","Senegal",14,"Ziguinchor",44,"Oussouye",121,"Loudia Ouolof",222020,"222020","Arrondissment","Arrondissement","","<Null>"
125,201,"SEN","Senegal",14,"Ziguinchor",45,"Ziguinchor",122,"Niaguis",232010,"232010","Arrondissment","Arrondissement","",""
126,201,"SEN","Senegal",14,"Ziguinchor",45,"Ziguinchor",123,"Nyassia",232020,"232020","Arrondissment","Arrondissement","",""
