"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
98,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine",98,"Tattaguine","",912040,"9120403","Commune","Commune"
99,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",99,"Diagane Barka","",922010,"9220103","Commune","Commune"
100,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",100,"Diossong","",922010,"9220102","Commune","Commune"
101,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",101,"Djilor","",922010,"9220101","Commune","Commune"
102,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",102,"Mbam","",922010,"9220104","Commune","Commune"
103,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",23,"Djilor",103,"Niassene","",922010,"9220105","Commune","Commune"
104,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",104,"Bassoul","",922020,"9220201","Commune","Commune"
105,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",105,"Delta du Saloum National Park","",922020,"","Parc National","National Park"
106,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",106,"Dionewar","",922020,"9220202","Commune","Commune"
107,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",24,"Niodior",107,"Djirnda","",922020,"9220203","Commune","Commune"
108,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",108,"Keur Saloum Diane","",922030,"9220301","Commune","Commune"
109,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",109,"Keur Samba Gueye","",922030,"9220302","Commune","Commune"
110,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",110,"Nioro Alassane Tall","",922030,"9220303","Commune","Commune"
111,201,"SEN","Senegal",3,"Fatick",9,"Foundiougne",25,"Toubacouta",111,"Toubacouta","",922030,"9220304","Commune","Commune"
112,201,"SEN","Senegal",3,"Fatick",10,"Gossas",26,"Colobane",112,"Colobane","",932010,"9320101","Commune","Commune"
113,201,"SEN","Senegal",3,"Fatick",10,"Gossas",26,"Colobane",113,"Mbar","",932010,"9320102","Commune","Commune"
114,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour",114,"Ndiene Lagane","",932020,"9320201","Commune","Commune"
115,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour",115,"Ouadiour","",932020,"9320202","Commune","Commune"
116,201,"SEN","Senegal",3,"Fatick",10,"Gossas",27,"Ouadiour",116,"Patar Lia","",932020,"9320203","Commune","Commune"
