index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
48;18062;6;1999;15;224.990816981;138.151496327;253.486557759;100.356347416;60.8135557375;138.486720836;95.9243684437;68.4071832704;157.20902264;134.011820041;119.924569991;133.555976807;118.506510406;129.245882661;299.36905236;224.990814209;95.924369812;134.011825562;224.990814209;95.924369812;134.011825562
49;18428;6;2000;15;195.008064457;90.0517203975;272.393690495;75.096677132;31.7682438149;83.3930754069;49.543601375;33.4193752798;69.7195808903;221.131186944;113.19739046;129.837199643;51.4433765143;204.146637665;163.743390845;195.008071899;49.5436019897;221.13117981;195.008071899;49.5436019897;221.13117981
50;18793;6;2001;15;96.6576403931;94.7302711972;99.0775192148;74.864785937;65.5487580997;172.734339917;91.2934243472;77.9653714571;110.115992267;104.744652582;102.103913376;96.5206327665;116.380147423;49.9672149559;178.242406537;96.6576385498;91.2934265137;104.744651794;96.6576385498;91.2934265137;104.744651794
51;19158;6;2002;15;166.038091222;128.152394335;161.81855622;110.867597569;70.7210048005;158.892327053;80.2217414497;102.705661486;133.823178218;168.715200318;146.784623228;141.381961841;62.0463270878;150.012049994;361.438985869;166.038085938;80.2217407227;168.715194702;166.038085938;80.2217407227;168.715194702
52;19523;6;2003;15;107.9689714;38.021412033;97.6515976649;42.4441346482;65.7434140995;47.6433992925;37.3757982747;52.6488171727;19.1514152052;165.872799816;40.2612060857;74.6631553224;34.153071551;89.6950116015;97.9320818207;107.968971252;37.3757972717;165.872802734;107.968971252;37.3757972717;165.872802734
53;19889;6;2004;15;115.66294628;125.473574756;98.3430051565;216.327332529;92.1846714866;106.117019123;239.635140249;128.485988562;185.55052264;105.06628521;93.110706953;117.935086869;232.441956885;94.8414096283;182.758445287;115.662948608;239.635147095;105.06628418;115.662948608;239.635147095;105.06628418
54;20254;6;2005;15;209.107476348;147.590469121;101.385374183;139.703196152;131.994773902;110.688828367;150.345942674;136.419715072;109.819010474;88.1247391414;108.255413219;120.705919095;133.519591211;71.1539226837;366.417372841;209.107467651;150.345947266;88.1247406006;209.107467651;150.345947266;88.1247406006
55;20619;6;2006;15;106.333277037;153.325938009;174.485259784;52.2771421969;84.7677955913;89.3513911063;68.6594795511;38.5777466394;184.437116801;168.543804913;103.159847761;110.390791233;68.5156150837;124.831284659;155.125905847;106.333274841;68.6594772339;168.543807983;106.333274841;68.6594772339;168.543807983
56;20984;6;2007;15;99.4908766783;39.5367705015;137.669421012;44.0414726214;90.1496788544;247.859089103;43.3560227812;72.9124166223;40.6594701632;77.5983193544;75.3863896165;124.707804808;53.5891592631;172.62031382;87.9083730581;99.4908752441;43.3560218811;77.5983200073;99.4908752441;43.3560218811;77.5983200073
57;21350;6;2008;15;151.877732597;90.0041859581;233.10041493;17.3568150558;32.6621200159;134.368669176;26.1138398231;24.6364364623;88.850652019;214.031327851;59.9577103611;113.182247084;40.3738223744;146.397116807;125.118287592;151.877731323;26.1138401031;214.031326294;151.877731323;26.1138401031;214.031326294
