index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
410;12857.0;3.0;1985.0;15.0;314.663116455;315.731567383;315.004333496;314.663116455;316.925689697;315.272979736;314.767456055;317.439086914;318.026550293;315.731567383;318.21572876;317.031799316;315.004333496;317.369262695;316.754730225;317.414001465;316.606872559;314.036224365;314.663116455;315.731567383;315.004333496;42.4689979553
411;12888.0;4.0;1985.0;15.0;313.415100098;312.338592529;315.512268066;313.415100098;315.085998535;315.138671875;308.294128418;317.21786499;318.26953125;312.338592529;316.696105957;314.373260498;315.512268066;316.681976318;316.177215576;315.646362305;316.882629395;311.840118408;313.415100098;312.338592529;315.512268066;38.7654304504
412;12918.0;5.0;1985.0;15.0;312.161499023;308.981872559;313.875518799;312.161499023;313.986450195;313.599121094;301.296844482;319.028106689;318.664031982;308.981872559;316.876434326;312.548278809;313.875518799;316.018920898;315.595031738;314.341644287;316.085754395;309.576599121;312.161499023;308.981872559;313.875518799;35.1107521057
413;12949.0;6.0;1985.0;15.0;313.274536133;313.462463379;314.226226807;313.274536133;315.270019531;314.942749023;308.13458252;317.881591797;318.686126709;313.462463379;316.376312256;315.553497314;314.226226807;316.026153564;316.121734619;315.690185547;316.778961182;310.607757568;313.274536133;313.462463379;314.226226807;39.9025382996
414;12979.0;7.0;1985.0;15.0;310.447357178;312.373626709;311.026550293;310.447357178;312.953430176;310.529724121;305.431640625;314.61227417;313.8777771;312.373626709;313.956451416;313.635040283;311.026550293;313.199188232;312.657531738;314.425628662;312.019012451;309.457855225;310.447357178;312.373626709;311.026550293;38.6666259766
415;13010.0;8.0;1985.0;15.0;311.595184326;309.778442383;310.347259521;311.595184326;311.71383667;310.553741455;305.512329102;313.625579834;312.300384521;309.778442383;311.73135376;311.273590088;310.347259521;312.009887695;311.460083008;311.736541748;310.670013428;311.08581543;311.595184326;309.778442383;310.347259521;36.2904281616
416;13041.0;9.0;1985.0;15.0;309.118103027;310.313995361;308.457611084;309.118103027;310.702453613;308.425598145;306.414764404;313.908355713;311.590332031;310.313995361;312.500488281;310.763122559;308.457611084;310.523071289;310.637512207;310.940063477;309.483459473;309.483581543;309.118103027;310.313995361;308.457611084;36.7643737793
417;13071.0;10.0;1985.0;15.0;307.79486084;311.525665283;308.464202881;307.79486084;310.094055176;308.096008301;311.767120361;314.049407959;313.174987793;311.525665283;313.439971924;310.431884766;308.464202881;311.14654541;311.187774658;311.756225586;310.597747803;307.564758301;307.79486084;311.525665283;308.464202881;38.2874183655
418;13102.0;11.0;1985.0;15.0;308.856414795;310.759887695;309.44140625;308.856414795;310.64630127;309.155853271;311.024963379;312.707946777;312.733154297;310.759887695;312.678924561;311.013885498;309.44140625;311.295013428;311.21307373;311.905792236;310.904144287;308.751281738;308.856414795;310.759887695;309.44140625;37.5934333801
419;13132.0;12.0;1985.0;15.0;307.538970947;308.882507324;309.617645264;307.538970947;309.325042725;308.066589355;309.827697754;309.683776855;310.740753174;308.882507324;309.891662598;309.221069336;309.617645264;310.056945801;309.713989258;309.496551514;310.461120605;307.47467041;307.538970947;308.882507324;309.617645264;35.8000793457
420;13163.0;1.0;1986.0;15.0;308.083862305;307.043334961;308.44052124;308.083862305;309.069671631;308.196472168;307.220611572;306.911956787;308.2734375;307.043334961;307.724243164;308.731018066;308.44052124;309.048919678;308.163085938;308.114715576;308.5987854;308.088531494;308.083862305;307.043334961;308.44052124;33.944984436
421;13194.0;2.0;1986.0;15.0;311.286895752;310.708557129;312.239135742;311.286895752;312.545837402;311.848846436;312.676208496;310.957702637;312.710601807;310.708557129;311.416015625;312.362121582;312.239135742;312.568328857;312.026550293;311.597259521;312.708312988;310.924133301;311.286895752;310.708557129;312.239135742;37.749004364
422;13222.0;3.0;1986.0;15.0;313.676116943;312.081085205;314.918212891;313.676116943;315.173034668;314.624145508;310.476165771;315.001251221;317.899139404;312.081085205;315.03024292;314.737213135;314.918212891;316.381439209;315.483947754;314.288146973;316.250305176;313.317352295;313.676116943;312.081085205;314.918212891;38.8194351196
423;13253.0;4.0;1986.0;15.0;314.768218994;313.464447021;314.630126953;314.768218994;315.826934814;315.055755615;310.87890625;316.361419678;318.285308838;313.464447021;315.665161133;316.107452393;314.630126953;316.374694824;316.096405029;315.262695312;316.74887085;314.523895264;314.768218994;313.464447021;314.630126953;40.1259727478
424;13283.0;5.0;1986.0;15.0;312.872497559;311.449798584;314.113952637;312.872497559;314.401000977;314.079467773;305.812347412;314.777435303;316.601959229;311.449798584;313.971130371;314.573974609;314.113952637;314.994140625;314.635894775;313.991882324;315.514892578;311.687011719;312.872497559;311.449798584;314.113952637;37.8482437134
425;13314.0;6.0;1986.0;15.0;311.445587158;312.095916748;314.44442749;311.445587158;313.747436523;313.148223877;305.641967773;316.527801514;317.590087891;312.095916748;315.170928955;315.478515625;314.44442749;314.311706543;314.99822998;314.721099854;315.612487793;310.143096924;311.445587158;312.095916748;314.44442749;38.441947937
