index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
48;18062;6;1999;15;146.950621215;106.893930189;132.726987227;70.4702421248;71.7712498676;75.2040320263;81.214733934;75.1405823104;98.9548326382;214.057709959;78.3167799492;111.820688116;74.1726660099;134.261577919;176.30055608;146.950622559;81.2147369385;214.05770874;146.950622559;81.2147369385;214.05770874
49;18428;6;2000;15;93.9966538202;63.334387693;78.062082165;68.4966465181;45.4781878789;53.8576026503;72.4685707076;47.3780213617;77.6124817768;58.1721126868;50.7156119824;59.4536047179;67.8419753796;47.6089225998;144.839657918;93.9966506958;72.4685745239;58.1721115112;93.9966506958;72.4685745239;58.1721115112
50;18793;6;2001;15;99.4853423071;112.40638971;162.721168917;102.520540786;97.8414543734;109.414235581;113.938353539;110.079680002;110.039344089;193.814503438;142.834717635;136.941843535;157.728380691;170.538770882;149.980557681;99.4853439331;113.938354492;193.814498901;99.4853439331;113.938354492;193.814498901
51;19158;6;2002;15;86.5057800626;76.0321386485;86.0568970493;36.378343728;24.9673519781;89.579790637;38.6631207795;56.4935643339;64.630991966;64.6224302293;58.2272441886;72.1728002186;47.273748677;97.6784527311;99.6663006613;86.5057830811;38.6631202698;64.622428894;86.5057830811;38.6631202698;64.622428894
52;19523;6;2003;15;152.939253815;68.0689137752;185.270300248;35.0108615211;37.7714559389;45.5625277904;35.601930633;27.0888026873;51.2339876794;133.115458471;70.1468838682;79.1490323;40.4410858219;95.7576409121;118.468989732;152.939254761;35.6019325256;133.115463257;152.939254761;35.6019325256;133.115463257
53;19889;6;2004;15;180.62830354;128.677570357;261.184717514;139.433556771;60.5135522915;67.5462389097;138.265061089;67.3180961761;144.461705559;186.842737514;94.7086725723;127.122312302;112.453933206;162.126778295;114.069130213;180.628311157;138.265060425;186.84274292;180.628311157;138.265060425;186.84274292
54;20254;6;2005;15;251.555665057;201.757976411;275.008564148;96.7224962962;45.0840983448;149.551681849;97.8845763964;95.2573163575;143.055460795;264.498635451;270.791383231;172.721962236;135.794842434;197.002657353;192.645476457;251.555664062;97.8845748901;264.498626709;251.555664062;97.8845748901;264.498626709
55;20619;6;2006;15;222.031960245;161.498243279;188.696664567;186.230752799;63.5772574935;87.9525238492;130.589195732;76.7928576226;183.997386229;224.697735497;122.002898342;138.712184206;102.573385983;159.869067706;255.681052575;222.031951904;130.589202881;224.697738647;222.031951904;130.589202881;224.697738647
56;20984;6;2007;15;83.748184917;41.2647388983;99.9990054458;28.3163911185;107.658612012;113.253735076;34.3873981926;126.370782039;37.0900079115;79.9816429277;55.7460565378;88.0998946622;31.2824674845;77.4876762437;98.23077115;83.7481842041;34.3873977661;79.9816436768;83.7481842041;34.3873977661;79.9816436768
57;21350;6;2008;15;99.4506625457;75.978888181;120.388114951;59.8151116156;32.6911126416;75.1190118584;58.5314204738;49.9793147065;74.1639448794;176.873498009;77.37520868;85.7390059187;78.4598478679;91.8344795524;125.99859224;99.4506607056;58.5314178467;176.873504639;99.4506607056;58.5314178467;176.873504639
58;21715;6;2009;15;91.2980382547;96.1008842729;112.708223093;52.2547180996;113.094340661;188.732365228;86.3141953451;82.4308046938;95.945238765;173.124857114;122.063066022;120.33455496;169.893731645;100.775624559;84.6434154777;91.298034668;86.3141937256;173.124862671;91.298034668;86.3141937256;173.124862671
59;22080;6;2010;15;126.935943691;101.477047482;112.461026823;69.0277125607;69.794187877;125.442391746;80.7050427895;106.486750345;74.9319252851;172.820236001;213.208295708;125.683844099;97.9093513244;152.321447627;99.3446761708;126.935943604;80.705039978;172.820236206;126.935943604;80.705039978;172.820236206
60;22445;6;2011;15;78.7812175845;55.9733585021;111.700705852;79.7666426761;123.813052248;107.44858295;74.0750113152;165.537516175;61.5662852328;123.949561914;72.0454303994;104.785893187;63.0699684129;83.9607274972;110.396151432;78.7812194824;74.075012207;123.949562073;78.7812194824;74.075012207;123.949562073
61;22811;6;2012;15;372.505711754;202.745219403;192.363645525;149.957510639;103.578443239;141.699228336;176.318529507;83.1936223581;249.744495735;189.973242212;101.438825105;159.369398312;182.122081548;116.870984001;503.87552432;372.505706787;176.318527222;189.973236084;372.505706787;176.318527222;189.973236084
62;23176;6;2013;15;117.296839547;43.2178109818;105.906754506;50.0566130663;50.4088457194;116.068426914;50.3493124542;53.1744342282;49.2319330837;119.592347719;49.5752728767;85.267075838;46.1541748304;92.5106679639;167.511035205;117.296844482;50.3493118286;119.592346191;117.296844482;50.3493118286;119.592346191
63;23541;6;2014;15;146.305521223;122.74265397;136.701296154;123.188445166;73.6208040429;117.515749124;122.117691673;110.59314409;130.572836277;212.949359418;114.950257758;128.842555574;128.684210774;141.398461386;135.307754931;146.305526733;122.11769104;212.949371338;146.305526733;122.11769104;212.949371338
64;23906;6;2015;15;101.455883814;76.0499236781;127.530502885;75.1257170004;62.8598417425;85.01630776;112.332637636;94.3197318851;85.6699861313;102.395489499;91.5599721707;96.8832387287;98.2596559703;113.588200028;93.2936646599;101.455886841;112.332641602;102.395492554;101.455886841;112.332641602;102.395492554
65;24272;6;2016;15;100.491177561;134.749582425;116.614821831;89.3414580911;118.889296602;161.759096479;98.9989541687;109.666084433;134.993868809;125.852641706;111.450978666;125.673994283;108.668340643;130.435499326;122.262520798;100.49118042;98.9989547729;125.852638245;100.49118042;98.9989547729;125.852638245
66;24637;6;2017;15;110.398327284;83.9958207364;113.390429672;88.0934172531;52.1957860941;113.331105816;78.0386930034;72.197074371;85.4712184702;132.893695487;72.0550696094;94.0273308912;70.041965444;95.2238664792;147.201271784;110.398330688;78.0386886597;132.893692017;110.398330688;78.0386886597;132.893692017
67;25002;6;2018;15;78.7179031263;84.6798288977;103.952159692;131.535145979;53.3206659394;78.4304658192;110.676110641;55.7714696664;91.0018902131;189.86748557;91.5537228685;99.6032448215;113.293172617;132.222421808;79.1856091856;78.7179031372;110.676109314;189.867477417;78.7179031372;110.676109314;189.867477417
