index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
49;18428;6;2000;15;129.968028169;99.8497747271;166.397349788;162.547777098;87.3506192935;106.635788643;199.812562113;105.742736359;146.218758434;130.259497204;156.824914752;132.127249653;193.064789401;152.411405775;129.03283459;129.968032837;199.812561035;130.259490967;129.968032837;199.812561035;130.259490967
50;18793;6;2001;15;100.211428561;61.4961286273;117.354505596;48.2756708531;35.6686255545;64.907617995;70.7258314202;58.5485657984;57.6515229819;120.90080392;65.1004542952;77.745746965;60.5135951238;90.5392257432;107.547670884;100.211425781;70.7258300781;120.900802612;100.211425781;70.7258300781;120.900802612
51;19158;6;2002;15;137.437252137;116.708626882;140.094805961;107.94793088;25.3113254467;48.0001501273;124.520431886;38.8425732147;95.1201681324;107.512376237;73.7299124037;81.547831508;87.4618590621;97.6429602336;119.549040553;137.437255859;124.520431519;107.512374878;137.437255859;124.520431519;107.512374878
52;19523;6;2003;15;105.639173565;81.4009102094;97.6322500055;74.0962333848;47.1841483607;120.388682278;80.2428257474;42.8481652593;88.926761315;136.913057153;82.3405780986;89.672574298;96.2438797878;89.4466577054;140.618723429;105.639175415;80.2428207397;136.91305542;105.639175415;80.2428207397;136.91305542
53;19889;6;2004;15;155.119901036;63.250254096;130.956748432;174.467600798;33.3007055126;124.751174236;110.446849716;46.9718883445;106.517033568;131.127168818;71.7112058943;104.076700994;55.2413226028;132.875421762;187.520248318;155.119903564;110.446853638;131.127166748;155.119903564;110.446853638;131.127166748
54;20254;6;2005;15;102.82747356;43.4693680937;95.3274809988;46.2243917893;111.526620887;97.7802420698;82.8771141282;254.064600269;61.670740746;110.763093973;104.560702773;114.258166909;88.4105784482;80.71626073;134.782776511;102.827476501;82.8771133423;110.763092041;102.827476501;82.8771133423;110.763092041
55;20619;6;2006;15;104.756088432;92.9872324683;142.94904536;80.2049439576;96.2145295599;104.683468938;69.3895753073;100.72002963;94.6527722667;180.340060924;126.652946517;116.737285093;105.161836393;120.252901197;143.04258239;104.756088257;69.3895797729;180.340057373;104.756088257;69.3895797729;180.340057373
56;20984;6;2007;15;185.360928564;137.658567272;157.540735897;267.747152223;126.789497399;209.040953853;197.610138753;136.510470118;143.190112922;248.641905151;110.740676913;172.791589852;129.070505056;191.542684575;162.115611857;185.360931396;197.610137939;248.641906738;185.360931396;197.610137939;248.641906738
57;21350;6;2008;15;128.732968033;65.8275951947;240.622853841;99.8727029848;85.5521600556;113.295956622;99.4819764949;59.2904394297;207.091801538;174.395230967;93.1922507139;133.5264951;49.4361061745;177.418076393;188.752458976;128.732971191;99.4819717407;174.395233154;128.732971191;99.4819717407;174.395233154
58;21715;6;2009;15;161.413731981;68.6239861744;114.287662336;28.8910705027;31.5624823253;44.585105373;32.3701833386;58.5818538745;49.2643591408;262.378290969;101.758304153;100.710715161;41.3258928893;143.971171837;116.120260364;161.413726807;32.3701858521;262.378295898;161.413726807;32.3701858521;262.378295898
